N|N0003|200106|ABJ|14|22|3|2750|0|0|0|0|0|0|0|0|0|||||||||
N|N0003|200106|ABJ|14|23|1|2000|0|0|0|0|0|0|0|0|0|||||||||
N|N0003|200106|ABJ|15|21|1|400|0|0|0|0|0|0|0|0|0|||||||||
N|N0003|200106|ABJ|15|22|4|4000|0|0|0|0|0|0|0|0|0|||||||||
N|N0003|200106|ABJ|15|23|2|4000|0|0|0|0|0|0|0|0|0|||||||||
N|N0003|200106|ABS|11|21|7425|1465605|200|1461410|2900|483622|651665|241738|87165|120|0.0097|0.0284|599869|0.0306|22|670152|18|194289|0.0373|25
N|N0003|200106|ABS|11|22|2071|1771724|10200|1756324|4300|486068|875585|266735|131436|800|0.0129|0.0362|589690|0.0323|26|813958|18|356976|0.0412|27
N|N0003|200106|ABS|11|23|467|1278592|20700|1253692|1700|232734|669574|252309|100775|0|0.0161|0.0578|364363|0.0373|26|490435|21|400594|0.0539|27
N|N0003|200106|ABS|11|24|101|618731|0|618231|500|53992|329177|162335|73227|0|0.0352|0.1075|120018|0.0462|29|218059|19|280654|0.0809|40
N|N0003|200106|ABS|12|21|3514|729473|112380|609024|3600|275888|218469|79749|36018|2500|-0.0014|0.0165|147323|0.0239|22|433769|19|31532|0.0169|30
N|N0003|200106|ABS|12|22|2929|2631297|368558|2237539|10300|950519|914170|246515|124672|9063|-0.0014|0.018|476640|0.0235|26|1665949|21|105250|0.0183|73
N|N0003|200106|ABS|12|23|744|2126290|331200|1776890|7300|466333|807364|312883|181810|15800|-0.001|0.0196|421717|0.0275|25|1214714|39|147759|0.0179|32
N|N0003|200106|ABS|12|24|231|1426782|286300|1123009|7200|172703|565506|182500|171600|33700|-0.0051|0.0297|154200|0.0311|34|762536|69|213473|0.0204|41
N|N0003|200106|ABS|13|21|5373|1227475|615108|592398|12300|116095|185894|114725|168322|16722|-0.0098|||||||||
N|N0003|200106|ABS|13|22|2219|1952970|878383|1029997|17900|166473|337975|224669|257909|48771|-0.0001|||||||||
N|N0003|200106|ABS|13|23|474|1342595|614765|656973|12600|94400|194626|100700|227047|44400|0.0207|||||||||
N|N0003|200106|ABS|13|24|98|589180|274600|306371|1600|22094|61226|63900|101351|56900|0.0191|||||||||
N|N0003|200106|ABS|14|21|5903|1165981|676623|470982|12800|38326|89722|91937|208618|53479|0.0117|||||||||
N|N0003|200106|ABS|14|22|3046|2866605|1814406|1003199|23600|54366|184430|196556|459693|121504|0.0064|||||||||
N|N0003|200106|ABS|14|23|501|1457600|830743|561918|14500|21700|82092|103310|243316|112900|0.0105|||||||||
N|N0003|200106|ABS|14|24|107|683299|454100|181199|5500|5400|30000|31399|88400|26400|-0.0011|||||||||
N|N0003|200106|ABS|15|21|2385|497517|380250|96644|800|3389|13523|10985|32930|23717|-0.0152|||||||||
N|N0003|200106|ABS|15|22|2461|2373497|2039460|253540|6800|5900|35651|32612|92796|69001|-0.0053|||||||||
N|N0003|200106|ABS|15|23|519|1383965|998876|170492|2000|3400|14600|19299|79240|42953|-0.0411|||||||||
N|N0003|200106|ABS|15|24|99|701071|288795|61560|2200|0|8300|5300|23860|17900|-0.0006|||||||||
N|N0003|200106|ABT|11|21|14051|3368858|8904|3347422|10900|1469987|1273455|447558|166267|1055|0.0041|0.0273|1682138|0.0365|18|1150749|14|525435|0.044|25
N|N0003|200106|ABT|11|22|8222|7245763|39796|7182341|18000|2649263|3019474|1092909|428965|9730|0.001|0.0366|3330295|0.041|20|2459316|16|1410730|0.0516|27
N|N0003|200106|ABT|11|23|1363|3738929|18800|3703922|7100|1015108|1899441|540564|253884|2025|0.0157|0.0537|1292696|0.0444|23|1351067|16|1067259|0.0544|26
N|N0003|200106|ABT|11|24|335|1972809|10000|1958309|4500|274483|1020743|521377|146206|0|0.0464|0.0852|547183|0.0333|27|617336|20|798290|0.0651|31
N|N0003|200106|ABT|12|21|8234|1697384|297089|1392155|5400|833819|402844|115538|42994|2060|-0.0076|0.0135|450821|0.0298|18|879355|12|67379|0.0189|21
N|N0003|200106|ABT|12|22|6220|5448529|743411|4679158|13300|2458378|1576927|480171|160019|15263|0.0016|0.0159|1584947|0.0303|21|2890278|14|217233|0.0291|22
N|N0003|200106|ABT|12|23|1730|4971123|840512|4103811|6400|1430746|1750124|578119|317522|31000|0.005|0.022|1413119|0.0339|25|2295890|28|401202|0.0366|30
N|N0003|200106|ABT|12|24|547|3294482|478100|2771582|12700|582294|1404959|456399|275830|55400|0.0294|0.029|831776|0.0406|25|1522581|41|429925|0.0317|119
N|N0003|200106|ABT|13|21|15959|3534957|1896612|1609121|20800|585263|567132|244388|213183|18106|-0.0069|||||||||
